name,email,province,city,date,letter,gifts
Lucas,,Ontario,Brampton,2024-11-17,"Yo Santa!

Lucas checking in from Brampton, Ontario. This year's been wild, but I've kept it cool. 
I'm hyped about maybe getting a electric scooter. And, if you're feeling extra jolly, a virtual reality headset would blow my mind!

Stay frosty!
Lucas
","electric scooter, virtual reality headset"
Donna,,Nova Scotia,Sydney,2024-12-03,"Hi Santa!

Donna here, waving from Sydney, Nova Scotia. I've been trying my best to be good (most of the time).
I'm really hoping to find a Our Generation Siberian Husky Plush under the tree. And if there's room in your bag, a video game would be amazing!

Thanks for being awesome!
Donna
","Our Generation Siberian Husky Plush, video game"
Tammy,,Nunavut,Cambridge Bay,2024-11-03,"Hi Santa,

I'm Tammy from Cambridge Bay, Nunavut. It's been a great year, and I've tried my best to be good. 
For Christmas, I have my eyes set on a lego set. If it’s not too much trouble, I’d also love a art supplies.

Happy Holidays, Santa!
Best wishes,
Tammy
","lego set, art supplies"
Lindsey,lindsey.red@hotmail.com,Alberta,Red Deer,2024-12-23,"Dear Santa,

I hope this letter finds you well. My name is Lindsey, and I live in Red Deer, Alberta. 
This year, I've been on my best behavior. For Christmas, I would really love a Furby Furblets. 
If you can, I would also be thrilled to receive a skateboard.

Thank you for all the joy you bring!
Sincerely,
Lindsey
","Furby Furblets, skateboard"
Kevin,kevin.cal@outlook.com,Alberta,Calgary,2024-11-28,"Santa, my dude!

Kevin here, repping Calgary, Alberta. I've been good(ish) this year, promise!
I'm crossing my fingers for a solar-powered phone charger. And if you're feeling extra magical, a magnetic levitating globe would make my year!

You rock, Santa!
Kevin
","solar-powered phone charger, magnetic levitating globe"
Michelle,,Quebec,Gatineau,2024-11-13,"S-man!

What's crackin'? It's Michelle from Gatineau, Quebec. I've been keeping my nose clean all year.
I'm super stoked about maybe getting a digital art drawing tablet. And if you're feeling extra jolly, a portable karaoke microphone would be off the hook!

You're a legend, Santa!
Michelle
","digital art drawing tablet, portable karaoke microphone"
Patricia,patricia789@yahoo.com,Northwest Territories,Inuvik,2024-12-17,"Santa, my main man!

Patricia here, chillin' in Inuvik, Northwest Territories. I've been keeping it real and staying good.
I'm dreaming of unwrapping a Apple iPad (10th Generation) on Christmas morning. And if you're feeling generous, a Squishmallows (Hello Kitty, Piplup, Adopt Me! Queen Bee) would be the cherry on top!

You're the GOAT, Santa!
Patricia
","Apple iPad (10th Generation), Squishmallows (Hello Kitty, Piplup, Adopt Me! Queen Bee)"
Jordan,jordan.fre@yahoo.com,New Brunswick,Fredericton,2024-12-01,"Hey Santa!

What's up? It's Jordan here from Fredericton, New Brunswick. I've been crushing it this year - no coal for me, right? 😉
I'm dreaming of a Miniverse Make It Mini Food Kits under the tree. Oh, and if you've got room in that sleigh, a Apple Watch would be epic too!

You're the best, big guy!
Jordan
","Miniverse Make It Mini Food Kits, Apple Watch"
Jeffrey,jeffrey456@hotmail.com,British Columbia,Vancouver,2024-11-13,"Dear Santa Claus,

Hello! My name is Jeffrey, and I live in Vancouver, British Columbia.
I’ve been very kind and helpful this year. For Christmas, I would really like a desktop air purifier.
It would also make me so happy to have a Apple iPad Air if you can manage it.

Thank you so much, Santa!
Yours truly,
Jeffrey
","desktop air purifier, Apple iPad Air"
Donna,donna.gan@yahoo.com,Newfoundland and Labrador,Gander,2024-12-06,"Hi there, Santa!

It's Donna from Gander, Newfoundland and Labrador. I've been trying my best to stay on the nice list.
I'm really wishing for a mini drone this year. And if it's not too much, a interactive storybook projector would be amazing too!

Thanks for all you do!
Donna
","mini drone, interactive storybook projector"
Amanda,amanda2014@mail.com,Nunavut,Rankin Inlet,2024-12-15,"Hey Santa!

What's up? It's Amanda here from Rankin Inlet, Nunavut. I've been crushing it this year - no coal for me, right? 😉
I'm dreaming of a indoor herb garden kit under the tree. Oh, and if you've got room in that sleigh, a Samsung Galaxy Tab A9+ would be epic too!

You're the best, big guy!
Amanda
","indoor herb garden kit, Samsung Galaxy Tab A9+"
Kevin,,Manitoba,Winnipeg,2024-11-13,"Hi Santa,

I'm Kevin from Winnipeg, Manitoba. It's been a great year, and I've tried my best to be good. 
For Christmas, I have my eyes set on a Electric Candle Lighter. If it’s not too much trouble, I’d also love a customizable neon sign.

Happy Holidays, Santa!
Best wishes,
Kevin
","Electric Candle Lighter, customizable neon sign"
Joseph,joseph2012@mail.com,Alberta,Red Deer,2024-12-21,"Santa, my dude!

Joseph here, repping Red Deer, Alberta. I've been good(ish) this year, promise!
I'm crossing my fingers for a doll. And if you're feeling extra magical, a smart home assistant would make my year!

You rock, Santa!
Joseph
","doll, smart home assistant"
Eric,,Nunavut,Cambridge Bay,2024-11-28,"Santa, my main man!

Eric here, chillin' in Cambridge Bay, Nunavut. I've been keeping it real and staying good.
I'm dreaming of unwrapping a video game on Christmas morning. And if you're feeling generous, a book would be the cherry on top!

You're the GOAT, Santa!
Eric
","video game, book"
Daniel,daniel123@hotmail.com,New Brunswick,Saint John,2024-12-13,"Dear Santa Claus,

Daniel here from Saint John, New Brunswick. I've been working hard on being good this year.
I'm really excited about the possibility of getting a Yellow Dress-Up Set. And if it's not too much to ask, a Furby Furblets would be incredible!

Thanks for spreading joy!
Daniel
","Yellow Dress-Up Set, Furby Furblets"
Kent,,Saskatchewan,Saskatoon,2024-12-21,"Dear S-Claus,

It's your pal Kent from Saskatoon, Saskatchewan. I've been working on my nice game all year.
I'm really hoping for a skateboard this Christmas. And hey, if you're in a giving mood, a LEGO Sets would be awesome too!

Thanks for being you!
Kent
","skateboard, LEGO Sets"
Larry,larry.sur@yahoo.com,British Columbia,Surrey,2024-11-14,"Dear Santa,

I hope this letter finds you well. My name is Larry, and I live in Surrey, British Columbia. 
This year, I've been on my best behavior. For Christmas, I would really love a digital art drawing tablet. 
If you can, I would also be thrilled to receive a Temporary Tattoo Markers Kit.

Thank you for all the joy you bring!
Sincerely,
Larry
","digital art drawing tablet, Temporary Tattoo Markers Kit"
